영화명,장르,개봉연도,관객수,스크린수,배급사,예산,국내매출액,세계매출액
듄,Action Adventure Drama Sci-Fi,2021,1549346,1576,워너브러더스코리아(주),,14616410.0,410668018
사랑과 영혼,Drama Fantasy Romance Thriller,1990,1532589,0,(주)제이앤씨미디어그룹 파라마운트픽쳐스,22000000.0,20984341.0,505703557
벼랑 위의 포뇨,Adventure Animation Comedy Family Fantasy,2008,1521842,379,(주)쇼박스,,8441483.0,206468321
오블리비언,Action Adventure Sci-Fi,2013,1515356,634,유니버설픽쳐스인터내셔널코리아(유),120000000.0,10149289.0,286168572
몬스터 호텔 2,Adventure Animation Comedy Family Fantasy Romance,2015,1515104,686,유니버설픽쳐스인터내셔널코리아(유),80000000.0,9804387.0,475186976
엑소더스: 신들과 왕들,Action Adventure Drama Fantasy,2014,1511845,865,이십세기폭스코리아(주),140000000.0,11006971.0,268175631
드래곤 길들이기 3,Action Adventure Animation Comedy Drama Family Fantasy,2019,1506942,971,유니버설픽쳐스인터내셔널코리아(유),129000000.0,9051084.0,539987993
인디펜던스 데이 : 리써전스,Action Adventure Sci-Fi,2016,1500830,926,이십세기폭스코리아(주),165000000.0,11043080.0,389681935
엑스맨 2,Action Sci-Fi Thriller,2003,1500000,52,이십세기폭스필름코퍼레이션,110000000.0,7360012.0,407711549
토이 스토리 3,Adventure Animation Comedy Family Fantasy,2010,1484843,394,한국소니픽쳐스릴리징브에나비스타영화(주),200000000.0,13231185.0,1067316101
킹덤 오브 헤븐,Action Adventure Drama History War,2005,1484000,74,이십세기폭스필름코퍼레이션,130000000.0,8720877.0,218366336
나니아 연대기:캐스피언 왕자,Action Adventure Family Fantasy,2008,1478573,551,한국소니픽쳐스릴리징브에나비스타영화(주),225000000.0,8167428.0,419665568
