"구·군별","내외국인별","시점","세대수[세대]","인구[명]","남자인구[명]","여자인구[명]",
"대청동","총인구","2020.10 월","3571","6653","3141","3512",
"대청동","총인구","2020.11 월","3564","6621","3116","3505",
"대청동","총인구","2020.12 월","3553","6601","3101","3500",
"대청동","총인구","2021.01 월","3553","6589","3085","3504",
"대청동","총인구","2021.02 월","3567","6586","3083","3503",
"대청동","총인구","2021.03 월","3561","6542","3056","3486",
"대청동","총인구","2021.04 월","3579","6540","3055","3485",
"대청동","총인구","2021.05 월","3579","6538","3058","3480",
"대청동","총인구","2021.06 월","3521","6457","3027","3430",
"대청동","총인구","2021.07 월","3517","6434","3015","3419",
"대청동","총인구","2021.08 월","3518","6416","3008","3408",
"대청동","총인구","2021.09 월","3528","6404","3002","3402",
"대청동","총인구","2021.10 월","3523","6390","2985","3405",
"대청동","총인구","2021.11 월","3508","6359","2971","3388",
"대청동","총인구","2021.12 월","3502","6351","2964","3387",
"대청동","총인구","2022.01 월","3511","6352","2961","3391",
"대청동","총인구","2022.02 월","3507","6326","2942","3384",
"대청동","총인구","2022.03 월","3515","6312","2946","3366",
"대청동","총인구","2022.04 월","3517","6283","2924","3359",
"대청동","총인구","2022.05 월","3522","6281","2928","3353",
"대청동","총인구","2022.06 월","3545","6279","2929","3350",
"대청동","총인구","2022.07 월","3557","6287","2916","3371",
"대청동","총인구","2022.08 월","3562","6279","2913","3366",
"대청동","총인구","2022.09 월","3539","6246","2901","3345",
"대청동","총인구","2022.10 월","3536","6223","2885","3338",
"대청동","총인구","2022.11 월","3520","6206","2880","3326",
"대청동","총인구","2022.12 월","3515","6183","2873","3310",
"대청동","총인구","2023.01 월","3523","6172","2877","3295",
"대청동","총인구","2023.02 월","3526","6159","2876","3283",
"대청동","총인구","2023.03 월","3509","6112","2851","3261",
"대청동","총인구","2023.04 월","3506","6079","2844","3235",
"대청동","총인구","2023.05 월","3502","6065","2836","3229",
"대청동","총인구","2023.06 월","3502","6063","2840","3223",
"대청동","총인구","2023.07 월","3488","6025","2827","3198",
"대청동","총인구","2023.08 월","3474","5991","2823","3168",
"대청동","총인구","2023.09 월","3463","5966","2817","3149",
"대청동","총인구","2023.10 월","3445","5938","2798","3140",
"대청동","총인구","2023.11 월","3437","5919","2793","3126",
"대청동","총인구","2023.12 월","3416","5887","2776","3111",
"대청동","총인구","2024.01 월","3416","5852","2766","3086",
"대청동","총인구","2024.02 월","3428","5841","2767","3074",
"대청동","총인구","2024.03 월","3438","5860","2773","3087",
"대청동","총인구","2024.04 월","3438","5839","2765","3074",
