address_gu,gu_pop_ratio,gu_area,gu_density,year,month
영도구,3.3,14.2,7840,2022,6
부산진구,10.4,29.67,11920,2022,6
동래구,8.1,16.63,16547,2022,6
남구,7.8,26.82,9906,2022,6
북구,8.4,39.37,7182,2022,6
해운대구,11.7,51.54,7701,2022,6
사하구,9.1,41.77,7412,2022,6
금정구,6.8,65.28,3505,2022,6
강서구,4.4,181.5,818,2022,6
연제구,6.1,12.1,17143,2022,6
수영구,5.2,10.22,17260,2022,6
사상구,6.2,36.1,5834,2022,6
기장군,5.3,218.32,819,2022,6
중구,1.3,2.83,15086,2022,7
서구,3.1,13.95,7627,2022,7
동구,2.7,9.87,9137,2022,7
영도구,3.3,14.2,7839,2022,7
부산진구,10.5,29.67,11920,2022,7
동래구,8.1,16.63,16577,2022,7
남구,7.8,26.82,9887,2022,7
북구,8.4,39.37,7179,2022,7
해운대구,11.7,51.54,7686,2022,7
사하구,9.1,41.77,7402,2022,7
금정구,6.7,65.28,3497,2022,7
강서구,4.4,181.5,818,2022,7
연제구,6.1,12.1,17112,2022,7
수영구,5.2,10.22,17269,2022,7
사상구,6.2,36.1,5825,2022,7
기장군,5.3,218.32,823,2022,7
중구,1.3,2.83,15051,2022,8
서구,3.2,13.95,7657,2022,8
동구,2.7,9.87,9113,2022,8
영도구,3.3,14.2,7836,2022,8
부산진구,10.5,29.67,11935,2022,8
동래구,8.2,16.63,16594,2022,8
남구,7.8,26.82,9864,2022,8
북구,8.4,39.37,7172,2022,8
해운대구,11.7,51.54,7676,2022,8
사하구,9.1,41.77,7392,2022,8
금정구,6.7,65.28,3488,2022,8
강서구,4.4,181.5,819,2022,8
연제구,6.1,12.1,17092,2022,8
수영구,5.2,10.22,17268,2022,8
사상구,6.2,36.1,5811,2022,8
기장군,5.3,218.32,823,2022,8
중구,1.3,2.83,15002,2022,9
서구,3.2,13.95,7708,2022,9
동구,2.7,9.87,9098,2022,9
영도구,3.3,14.2,7824,2022,9
