"시점","구군별(1)","연령별(1)",계,남자,여자
"2021.10","강서구","65세 이상",17674,8335,9339
"2021.10","연제구","65세 이상",41916,18523,23393
"2021.10","수영구","65세 이상",38906,16771,22135
"2021.10","사상구","65세 이상",40753,18289,22464
"2021.10","기장군","65세 이상",29146,12518,16628
"2021.11","중구","65세 이상",11274,4801,6473
"2021.11","서구","65세 이상",27590,11738,15852
"2021.11","동구","65세 이상",23938,9967,13971
"2021.11","영도구","65세 이상",31995,13632,18363
"2021.11","부산진구","65세 이상",72358,31349,41009
"2021.11","동래구","65세 이상",51649,22750,28899
"2021.11","남구","65세 이상",55387,24054,31333
"2021.11","북구","65세 이상",52349,23324,29025
"2021.11","해운대구","65세 이상",73391,31740,41651
"2021.11","사하구","65세 이상",62180,27648,34532
"2021.11","금정구","65세 이상",50383,21973,28410
"2021.11","강서구","65세 이상",17813,8404,9409
"2021.11","연제구","65세 이상",42084,18583,23501
"2021.11","수영구","65세 이상",38994,16814,22180
"2021.11","사상구","65세 이상",40887,18343,22544
"2021.11","기장군","65세 이상",29312,12588,16724
"2021.12","중구","65세 이상",11307,4812,6495
"2021.12","서구","65세 이상",27627,11765,15862
"2021.12","동구","65세 이상",23968,9981,13987
"2021.12","영도구","65세 이상",32077,13665,18412
"2021.12","부산진구","65세 이상",72521,31424,41097
"2021.12","동래구","65세 이상",51920,22848,29072
"2021.12","남구","65세 이상",55522,24082,31440
"2021.12","북구","65세 이상",52611,23474,29137
"2021.12","해운대구","65세 이상",73667,31848,41819
"2021.12","사하구","65세 이상",62465,27780,34685
"2021.12","금정구","65세 이상",50487,22039,28448
"2021.12","강서구","65세 이상",17921,8455,9466
"2021.12","연제구","65세 이상",42378,18744,23634
"2021.12","수영구","65세 이상",39105,16862,22243
"2021.12","사상구","65세 이상",41048,18427,22621
"2021.12","기장군","65세 이상",29455,12672,16783
"2022.01","중구","65세 이상",11372,4833,6539
"2022.01","서구","65세 이상",27724,11791,15933
"2022.01","동구","65세 이상",24103,10050,14053
"2022.01","영도구","65세 이상",32216,13727,18489
"2022.01","부산진구","65세 이상",72870,31600,41270
"2022.01","동래구","65세 이상",52483,23124,29359
"2022.01","남구","65세 이상",55743,24194,31549
"2022.01","북구","65세 이상",52939,23659,29280
"2022.01","해운대구","65세 이상",74114,32053,42061
"2022.01","사하구","65세 이상",62911,28005,34906
"2022.01","금정구","65세 이상",50728,22150,28578
"2022.01","강서구","65세 이상",18078,8536,9542
"2022.01","연제구","65세 이상",42552,18825,23727
"2022.01","수영구","65세 이상",39289,16935,22354
"2022.01","사상구","65세 이상",41312,18563,22749
"2022.01","기장군","65세 이상",29635,12751,16884
