EMD_CD,EMD_ENG_NM,address_gu,sub_address,EMD_KOR_NM,lat,lon,latitude,longitude
26230105,Beomjeon-dong,부산진구,범전동,범전동,35.167,129.06,35.167005,129.060098
26230106,Yeonji-dong,부산진구,연지동,연지동,35.172,129.053,35.172006,129.053353
26230107,Choeup-dong,부산진구,초읍동,초읍동,35.186,129.041,35.185866,129.040595
26230108,Buam-dong,부산진구,부암동,부암동,35.172,129.038,35.172056,129.038101
26230109,Danggam-dong,부산진구,당감동,당감동,35.167,129.029,35.1673,129.028917
26230110,Gaya-dong,부산진구,가야동,가야동,35.147,129.032,35.146905,129.032337
26230111,Gaegeum-dong,부산진구,개금동,개금동,35.154,129.021,35.153873,129.020639
26260101,Myeongjang-dong,동래구,명장동,명장동,35.207,129.103,35.20702,129.102549
26260102,Allak-dong,동래구,안락동,안락동,35.196,129.105,35.195951,129.105439
26260103,Chilsan-dong,동래구,칠산동,칠산동,35.204,129.092,35.204489,129.092153
26260104,Nangmin-dong,동래구,낙민동,낙민동,35.197,129.093,35.196675,129.092561
26260105,Bokcheon-dong,동래구,복천동,복천동,35.207,129.088,35.206796,129.088321
26260106,Suan-dong,동래구,수안동,수안동,35.199,129.085,35.198943,129.084975
26260107,Myeongnyun-dong,동래구,명륜동,명륜동,35.211,129.085,35.210938,129.085086
26260108,Oncheon-dong,동래구,온천동,온천동,35.214,129.068,35.21388,129.068176
26260109,Sajik-dong,동래구,사직동,사직동,35.199,129.059,35.198905,129.058913
26290106,Daeyeon-dong,남구,대연동,대연동,35.141,129.092,35.14076,129.092474
26290107,Yongho-dong,남구,용호동,용호동,35.115,129.114,35.114672,129.11441
26290108,Yongdang-dong,남구,용당동,용당동,35.112,129.098,35.112365,129.097638
26290109,Munhyeon-dong,남구,문현동,문현동,35.141,129.073,35.140989,129.072715
26290110,Uam-dong,남구,우암동,우암동,35.126,129.076,35.126036,129.075822
26290111,Gamman-dong,남구,감만동,감만동,35.113,129.08,35.113017,129.080174
26320101,Geumgok-dong,북구,금곡동,금곡동,35.262,129.023,35.261731,129.023159
26320102,Hwamyeong-dong,북구,화명동,화명동,35.238,129.025,35.238337,129.025349
26320103,Mandeok-dong,북구,만덕동,만덕동,35.214,129.039,35.213775,129.03853
26320104,Deokcheon-dong,북구,덕천동,덕천동,35.215,129.01,35.215045,129.010129
26320105,Gupo-dong,북구,구포동,구포동,35.198,129.007,35.198397,129.006955
26350101,Bansong-dong,해운대구,반송동,반송동,35.226,129.152,35.226272,129.152453
26350102,Seokdae-dong,해운대구,석대동,석대동,35.225,129.132,35.22493,129.1322
26350103,Banyeo-dong,해운대구,반여동,반여동,35.205,129.132,35.204936,129.131519
26350104,Jaesong-dong,해운대구,재송동,재송동,35.186,129.128,35.185757,129.128266
26350105,U-dong,해운대구,우동,우동,35.174,129.148,35.174371,129.147893
26350106,Jung-dong,해운대구,중동,중동,35.163,129.177,35.162505,129.17674
26350107,Jwa-dong,해운대구,좌동,좌동,35.184,129.174,35.184467,129.174231
26350108,Songjeong-dong,해운대구,송정동,송정동,35.185,129.197,35.184726,129.197424
26380101,Goejeong-dong,사하구,괴정동,괴정동,35.104,128.994,35.103504,128.994232
26380102,Dangni-dong,사하구,당리동,당리동,35.112,128.983,35.112368,128.983146
26380103,Hadan-dong,사하구,하단동,하단동,35.11,128.952,35.10994,128.952478
26380104,Sinpyeong-dong,사하구,신평동,신평동,35.091,128.966,35.090592,128.966439
26380105,Jangnim-dong,사하구,장림동,장림동,35.076,128.969,35.076052,128.968968
26380106,Dadae-dong,사하구,다대동,다대동,35.056,128.97,35.055727,128.969957
26380107,Gupyeong-dong,사하구,구평동,구평동,35.074,128.991,35.073802,128.990559
26380108,Gamcheon-dong,사하구,감천동,감천동,35.089,129.004,35.089301,129.004435
