address_gu,gu_old,gu_male_old,gu_female_old,year,month
수영구,43387,18520,24867,2024,6
사상구,47185,21377,25808,2024,6
기장군,33632,14507,19125,2024,6
중구,12166,5208,6958,2024,7
서구,29880,12687,17193,2024,7
동구,25634,10838,14796,2024,7
영도구,34380,14792,19588,2024,7
부산진구,81602,35301,46301,2024,7
동래구,59016,25882,33134,2024,7
남구,60523,26153,34370,2024,7
북구,61118,27529,33589,2024,7
해운대구,81944,35619,46325,2024,7
사하구,71101,31739,39362,2024,7
금정구,55298,24171,31127,2024,7
강서구,20875,9935,10940,2024,7
연제구,47792,20816,26976,2024,7
수영구,43492,18550,24942,2024,7
사상구,47351,21457,25894,2024,7
기장군,33705,14520,19185,2024,7
중구,12185,5212,6973,2024,8
서구,29967,12706,17261,2024,8
동구,25680,10872,14808,2024,8
영도구,34424,14822,19602,2024,8
부산진구,81884,35439,46445,2024,8
동래구,59216,25971,33245,2024,8
남구,60705,26236,34469,2024,8
북구,61333,27628,33705,2024,8
해운대구,82301,35786,46515,2024,8
사하구,71361,31864,39497,2024,8
금정구,55400,24220,31180,2024,8
강서구,20977,9996,10981,2024,8
연제구,47923,20842,27081,2024,8
수영구,43577,18579,24998,2024,8
사상구,47493,21519,25974,2024,8
기장군,33801,14568,19233,2024,8
중구,12197,5220,6977,2024,9
서구,30081,12750,17331,2024,9
동구,25727,10902,14825,2024,9
영도구,34499,14864,19635,2024,9
부산진구,82146,35569,46577,2024,9
동래구,59427,26044,33383,2024,9
남구,60867,26296,34571,2024,9
북구,61609,27756,33853,2024,9
해운대구,82609,35936,46673,2024,9
사하구,71625,31980,39645,2024,9
금정구,55642,24326,31316,2024,9
강서구,21081,10049,11032,2024,9
연제구,48125,20905,27220,2024,9
수영구,43724,18638,25086,2024,9
사상구,47668,21618,26050,2024,9
기장군,33940,14644,19296,2024,9
중구,12219,5236,6983,2024,10
서구,30236,12826,17410,2024,10
동구,25772,10934,14838,2024,10
영도구,34568,14883,19685,2024,10
부산진구,82377,35652,46725,2024,10
동래구,59700,26163,33537,2024,10
남구,61061,26383,34678,2024,10
북구,61938,27906,34032,2024,10
해운대구,82916,36090,46826,2024,10
사하구,71895,32063,39832,2024,10
금정구,55817,24404,31413,2024,10
강서구,21179,10085,11094,2024,10
연제구,48340,20991,27349,2024,10
수영구,43867,18671,25196,2024,10
사상구,47888,21723,26165,2024,10
기장군,34035,14687,19348,2024,10
