year,month,address_gu,sub_address,sub_household,sub_pop,sub_male_pop,sub_female_pop,sub_single
2020,6,사상구,학장동,12151.0,30331.0,15316.0,15015.0,3469.0
2020,6,사하구,감천동,12132.0,26927.0,13457.0,13470.0,4623.0
2020,6,사하구,괴정동,26845.0,60310.0,29261.0,31049.0,9701.0
2020,6,사하구,구평동,4592.0,11932.0,6106.0,5826.0,1111.0
2020,6,사하구,다대동,29231.0,70310.0,35132.0,35178.0,9836.0
2020,6,사하구,당리동,11546.0,28049.0,13771.0,14278.0,3443.0
2020,6,사하구,신평동,15191.0,35158.0,18020.0,17138.0,5634.0
2020,6,사하구,장림동,16906.0,40946.0,21173.0,19773.0,5754.0
2020,6,사하구,하단동,22519.0,48807.0,24361.0,24446.0,9835.0
2020,6,서구,남부민동,7862.0,15299.0,7825.0,7474.0,3862.0
2020,6,서구,동대신동,9633.0,19901.0,9484.0,10417.0,4288.0
2020,6,서구,서대신동,12200.0,29240.0,13838.0,15402.0,4127.0
2020,6,서구,아미동,4112.0,7367.0,3730.0,3637.0,2404.0
2020,6,서구,암남동,6810.0,14399.0,7176.0,7223.0,3250.0
2020,6,서구,초장동,2754.0,4821.0,2397.0,2424.0,1573.0
2020,6,수영구,광안동,33587.0,67239.0,31276.0,35963.0,16518.0
2020,6,수영구,남천동,11129.0,26864.0,12427.0,14437.0,3587.0
2020,6,수영구,망미동,17405.0,40237.0,19429.0,20808.0,5774.0
2020,6,수영구,민락동,12741.0,28973.0,13963.0,15010.0,4591.0
2020,6,수영구,수영동,7808.0,15292.0,7327.0,7965.0,3670.0
2020,6,연제구,거제동,24941.0,64626.0,31180.0,33446.0,6628.0
2020,6,연제구,연산동,66346.0,146267.0,70463.0,75804.0,25843.0
2020,6,영도구,동삼동,20903.0,44243.0,21714.0,22529.0,8797.0
2020,6,영도구,봉래동,6249.0,12905.0,6405.0,6500.0,2741.0
2020,6,영도구,신선동,5007.0,9478.0,4744.0,4734.0,2485.0
2020,6,영도구,영선동,5934.0,13422.0,6563.0,6859.0,2181.0
2020,6,영도구,청학동,11319.0,25876.0,12796.0,13080.0,4089.0
2020,6,중구,남포동,690.0,1274.0,796.0,478.0,468.0
2020,6,중구,대청동,3504.0,6672.0,3151.0,3521.0,1827.0
2020,6,중구,동광동,1922.0,3203.0,1667.0,1536.0,1286.0
2020,6,중구,보수동,5781.0,10944.0,5327.0,5617.0,3060.0
2020,6,중구,부평동,2713.0,4901.0,2323.0,2578.0,1561.0
2020,6,해운대구,반여동,30833.0,75529.0,37202.0,38327.0,9418.0
2020,6,해운대구,우동,33419.0,84712.0,40369.0,44343.0,9679.0
2020,6,해운대구,재송동,25904.0,64970.0,31783.0,33187.0,7583.0
2020,6,해운대구,좌동,36263.0,92119.0,43227.0,48892.0,10592.0
2020,6,해운대구,중동,17899.0,41206.0,19813.0,21393.0,6831.0
2020,7,강서구,강동동,2656.0,4745.0,2575.0,2170.0,1508.0
2020,7,강서구,명지동,26288.0,74786.0,37333.0,37453.0,5325.0
2020,7,금정구,구서동,21062.0,53893.0,25707.0,28186.0,5566.0
2020,7,금정구,금성동,486.0,1104.0,538.0,566.0,196.0
2020,7,금정구,남산동,13961.0,31012.0,15032.0,15980.0,5669.0
2020,7,금정구,서동,14621.0,28246.0,14150.0,14096.0,7017.0
2020,7,금정구,장전동,22157.0,47977.0,23580.0,24397.0,10802.0
2020,7,기장군,기장읍,25119.0,54311.0,26494.0,27817.0,10525.0
2020,7,기장군,일광읍,7569.0,17370.0,8746.0,8624.0,2725.0
2020,7,기장군,장안읍,4678.0,9133.0,5016.0,4117.0,2489.0
2020,7,기장군,정관읍,30946.0,83246.0,41249.0,41997.0,8089.0
2020,7,기장군,철마면,3854.0,8220.0,4134.0,4086.0,1508.0
2020,7,남구,감만동,9830.0,21723.0,10973.0,10750.0,3644.0
2020,7,남구,대연동,43373.0,99127.0,48508.0,50619.0,18166.0
2020,7,남구,문현동,21500.0,47742.0,23354.0,24388.0,8214.0
2020,7,남구,용당동,3327.0,8271.0,4208.0,4063.0,1066.0
2020,7,남구,용호동,33444.0,85538.0,41412.0,44126.0,8922.0
2020,7,남구,우암동,5955.0,13710.0,6789.0,6921.0,1997.0
2020,7,동구,범일동,13146.0,25962.0,12857.0,13105.0,6398.0
2020,7,동구,수정동,12347.0,24568.0,11883.0,12685.0,5735.0
2020,7,동구,좌천동,5462.0,11299.0,5478.0,5821.0,2332.0
2020,7,동구,초량동,14918.0,30146.0,14862.0,15284.0,7721.0
2020,7,동래구,명륜동,9328.0,24982.0,12162.0,12820.0,2384.0
2020,7,동래구,명장동,12855.0,30098.0,14689.0,15409.0,4067.0
2020,7,동래구,사직동,21961.0,57575.0,28042.0,29533.0,5840.0
2020,7,동래구,안락동,17991.0,43563.0,21312.0,22251.0,5529.0
2020,7,동래구,온천동,33487.0,73756.0,35638.0,38118.0,13622.0
2020,7,부산진구,가야동,17446.0,37856.0,18689.0,19167.0,7326.0
2020,7,부산진구,개금동,26250.0,59311.0,28645.0,30666.0,9934.0
2020,7,부산진구,당감동,20239.0,47016.0,22628.0,24388.0,6827.0
2020,7,부산진구,범천동,16972.0,32342.0,15624.0,16718.0,8650.0
2020,7,부산진구,부암동,16407.0,40886.0,20034.0,20852.0,4822.0
2020,7,부산진구,양정동,16782.0,33845.0,15877.0,17968.0,8066.0
2020,7,부산진구,연지동,8374.0,20513.0,9709.0,10804.0,2439.0
2020,7,부산진구,전포동,21684.0,39965.0,18876.0,21089.0,11984.0
2020,7,부산진구,초읍동,9852.0,22319.0,10807.0,11512.0,3487.0
2020,7,북구,구포동,28632.0,63692.0,32694.0,30998.0,11360.0
2020,7,북구,금곡동,18126.0,39760.0,19268.0,20492.0,7093.0
2020,7,북구,덕천동,19099.0,37202.0,18323.0,18879.0,9225.0
2020,7,북구,만덕동,23383.0,59981.0,29385.0,30596.0,5472.0
2020,7,북구,화명동,31454.0,90173.0,44193.0,45980.0,5484.0
2020,7,사상구,감전동,7291.0,14602.0,7822.0,6780.0,3517.0
2020,7,사상구,괘법동,11662.0,22656.0,11685.0,10971.0,6245.0
2020,7,사상구,덕포동,10055.0,23124.0,11799.0,11325.0,3793.0
2020,7,사상구,모라동,18928.0,40232.0,19937.0,20295.0,7791.0
2020,7,사상구,삼락동,3214.0,6578.0,3548.0,3030.0,1630.0
2020,7,사상구,엄궁동,10740.0,28925.0,14507.0,14418.0,2537.0
2020,7,사상구,주례동,23083.0,54150.0,27179.0,26971.0,8353.0
2020,7,사상구,학장동,12140.0,30201.0,15245.0,14956.0,3493.0
2020,7,사하구,감천동,12152.0,26851.0,13420.0,13431.0,4666.0
2020,7,사하구,괴정동,26840.0,60166.0,29181.0,30985.0,9733.0
2020,7,사하구,구평동,4606.0,11942.0,6118.0,5824.0,1120.0
2020,7,사하구,다대동,29252.0,70179.0,35080.0,35099.0,9885.0
2020,7,사하구,당리동,11547.0,27963.0,13722.0,14241.0,3473.0
2020,7,사하구,신평동,15208.0,35149.0,18020.0,17129.0,5658.0
2020,7,사하구,장림동,16945.0,40945.0,21181.0,19764.0,5803.0
2020,7,사하구,하단동,22558.0,48721.0,24313.0,24408.0,9914.0
2020,7,서구,남부민동,7910.0,15354.0,7850.0,7504.0,3897.0
2020,7,서구,동대신동,9753.0,20102.0,9580.0,10522.0,4353.0
2020,7,서구,서대신동,12210.0,29180.0,13808.0,15372.0,4161.0
2020,7,서구,아미동,4101.0,7313.0,3693.0,3620.0,2408.0
2020,7,서구,암남동,6804.0,14345.0,7163.0,7182.0,3254.0
2020,7,서구,초장동,2739.0,4803.0,2391.0,2412.0,1561.0
2020,7,수영구,광안동,33744.0,67303.0,31294.0,36009.0,16694.0
2020,7,수영구,남천동,11151.0,26862.0,12410.0,14452.0,3616.0
2020,7,수영구,망미동,17434.0,40138.0,19386.0,20752.0,5815.0
2020,7,수영구,민락동,12839.0,29135.0,14045.0,15090.0,4650.0
2020,7,수영구,수영동,7821.0,15264.0,7313.0,7951.0,3694.0
2020,7,연제구,거제동,24968.0,64488.0,31100.0,33388.0,6658.0
2020,7,연제구,연산동,66444.0,146027.0,70337.0,75690.0,26020.0
2020,7,영도구,동삼동,20891.0,44106.0,21643.0,22463.0,8818.0
2020,7,영도구,봉래동,6243.0,12874.0,6378.0,6496.0,2741.0
2020,7,영도구,신선동,4987.0,9434.0,4717.0,4717.0,2475.0
2020,7,영도구,영선동,5945.0,13401.0,6541.0,6860.0,2196.0
2020,7,영도구,청학동,11315.0,25809.0,12758.0,13051.0,4109.0
2020,7,중구,남포동,696.0,1281.0,801.0,480.0,475.0
2020,7,중구,대청동,3501.0,6630.0,3145.0,3485.0,1839.0
2020,7,중구,동광동,1912.0,3181.0,1651.0,1530.0,1279.0
