영화명,장르,개봉연도,관객수,스크린수,배급사,예산,국내매출액,세계매출액,세계흥행지수,국내흥행지수,유형
엑스맨: 퍼스트 클래스,Action Sci-Fi,2011,2533852,587,이십세기폭스코리아(주),160000000.0,17338717.0,352616690,53.46608507371428,4.917157211134844,D (상대적 저성과)
해리포터와 아즈카반의 죄수,Adventure Family Fantasy Mystery,2004,2532000,91,워너브러더스코리아(주),130000000.0,13058217.845742468,808481128,122.58727960420843,1.615154317583832,C (글로벌 의존)
패션 오브 크라이스트,Drama,2004,2523700,56,길갈 (주)라이크콘텐츠 (주)이수C&E 이십세기폭스필름코퍼레이션,30000000.0,3919374.0,610063438,92.50187129959906,0.6424535148097172,C (글로벌 의존)
마이펫의 이중생활,Adventure Animation Comedy Family,2016,2520510,726,유니버설픽쳐스인터내셔널코리아(유),75000000.0,16780206.0,875698161,132.77917269009913,1.9162088887839974,C (글로벌 의존)
"나니아 연대기-사자,마녀 그리고 옷장",Adventure Family Fantasy,2005,2505133,80,브에나비스타인터내셔널코리아,180000000.0,13983100.0,745013115,112.96383783655529,1.8768931336195336,C (글로벌 의존)
터미네이터 3,Action Sci-Fi,2003,2491354,88,(주)시네마서비스,200000000.0,13320908.60143658,433371112,65.71060701262371,3.0737878535467726,D (상대적 저성과)
보스 베이비,Adventure Animation Comedy Family Fantasy,2017,2451919,1116,(주)씨제이이엔엠,,17210258.0,527965936,80.05370264861595,3.2597288625075236,D (상대적 저성과)
신비한 동물들과 그린델왈드의 범죄,Adventure Family Fantasy,2018,2414062,1601,워너브러더스코리아(주),200000000.0,18921414.0,655755901,99.43006608806907,2.885435566976316,C (글로벌 의존)
터미네이터: 다크 페이트,Action Adventure Sci-Fi,2019,2410227,1315,월트디즈니컴퍼니코리아유한책임회사,185000000.0,14791367.0,261119292,39.59264174494985,5.66460137307664,B (국내 특화)
슈퍼 마리오 브라더스,Adventure Animation Comedy Family Fantasy,2023,2394076,1526,유니버설픽쳐스인터내셔널코리아(유),,17271151.0,1360847665,206.3407634767811,1.2691465359570573,C (글로벌 의존)
테이큰,Action Crime Thriller,2008,2379830,254,(주)스튜디오이쩜영,25000000.0,14122100.0,226837760,34.39464812085549,6.225638976509026,B (국내 특화)
007 스카이폴,Action Adventure Thriller,2012,2376145,748,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),200000000.0,12825803.0,1108594137,168.0924077673773,1.1569430661710238,C (글로벌 의존)
스파이더맨 2,Action Adventure Sci-Fi,2004,2367704,72,한국소니픽쳐스릴리징브에나비스타영화(주),200000000.0,13037416.0,784561571,118.96043746724787,1.6617454234194196,C (글로벌 의존)
미션 임파서블: 파이널 레코닝,Action Adventure Thriller,2025,2334727,2385,롯데컬처웍스(주)롯데엔터테인먼트,,16234559.0,584077375,88.56169179451409,2.7795219768613704,C (글로벌 의존)
스파이,Action Comedy,2015,2318748,665,이십세기폭스코리아(주),65000000.0,16285103.0,235666219,35.73327772447351,6.910240707854697,B (국내 특화)
모아나,Adventure Animation Comedy Family Fantasy Musical,2017,2310054,953,월트디즈니컴퍼니코리아유한책임회사,,16411306.0,643332467,97.54634249247954,2.5509836424904075,C (글로벌 의존)
테이큰 2,Action Crime Thriller,2012,2308596,682,이십세기폭스코리아(주),45000000.0,12894662.0,376152455,57.034734117992215,3.428041430701283,D (상대적 저성과)
메이즈 러너: 데스 큐어,Action Adventure Sci-Fi Thriller,2018,2299732,1090,이십세기폭스코리아(주),62000000.0,17181931.0,288175335,43.69505872582524,5.962318392030324,B (국내 특화)
맘마미아!2,Comedy Musical Romance,2018,2293836,750,유니버설픽쳐스인터내셔널코리아(유),75000000.0,17822208.0,395607854,59.98469096228411,4.50501875020914,D (상대적 저성과)
분노의 질주: 더 얼티메이트,Action Crime Thriller,2021,2292415,2297,유니버설픽쳐스인터내셔널코리아(유),,19075159.0,726229501,110.11574149682782,2.626602055374228,C (글로벌 의존)
호빗: 스마우그의 폐허,Adventure Fantasy,2013,2282744,811,워너브러더스코리아(주),,16225470.0,959079095,145.42194382713677,1.6917760051896449,C (글로벌 의존)
나잇&데이,Action Adventure Comedy,2010,2282191,501,이십세기폭스코리아(주),117000000.0,15501620.0,261989769,39.724629250523435,5.916879906863844,B (국내 특화)
미니언즈2,Adventure Animation Comedy Crime Family Sci-Fi,2022,2269024,1394,유니버설픽쳐스인터내셔널코리아(유),,19452280.0,940482695,142.60223411780674,2.06832939121756,C (글로벌 의존)
컨저링,Horror Mystery Thriller,2013,2262758,553,워너브러더스코리아(주),20000000.0,14864407.0,320415166,48.58347608068207,4.6391084372079945,D (상대적 저성과)
슈렉 포에버,Adventure Animation Comedy Family Fantasy Romance,2010,2261356,561,씨제이엔터테인먼트,165000000.0,21068686.0,752600867,114.11434320245343,2.799450136695099,C (글로벌 의존)
이글 아이,Action Mystery Thriller,2008,2258369,330,씨제이엔터테인먼트,80000000.0,12889312.0,178767383,27.105898214526558,7.210102751238463,B (국내 특화)
